x,y,z,Person,bvp,eda,temp,Label
-4.5,-7.0,63.0,S16,-3.378125,0.441045,30.43,Stress
-4.875,-7.0,63.0,S16,8.638125,0.439763,30.43,Stress
-4.75,-7.0,63.0,S16,1.401875,0.439763,30.43,Stress
-4.625,-7.0,63.0,S16,-5.89375,0.438482,30.43,Stress
-4.625,-7.0,63.0,S16,3.418125,0.437201,30.43,Stress
-4.5,-7.0,63.0,S16,-1.39125,0.435919,30.43,Stress
-4.375,-7.0,62.875,S16,6.554375,0.433357,30.45,Stress
-4.75,-7.0,62.875,S16,-4.075,0.432075,30.45,Stress
-4.75,-7.0,63.0,S16,0.333125,0.430794,30.45,Stress
-4.75,-7.0,63.0,S16,3.166875,0.430794,30.45,Stress
-4.75,-7.0,63.0,S16,-6.95375,0.428231,30.45,Stress
-4.625,-6.875,62.875,S16,4.418125,0.429513,30.45,Stress
-4.625,-7.125,62.875,S16,1.0031249999999998,0.425669,30.45,Stress
-5.125,-7.0,63.0,S16,-7.12375,0.424387,30.45,Stress
-5.25,-7.0,63.0,S16,4.701875,0.421825,30.45,Stress
-5.125,-7.0,63.0,S16,-6.35625,0.420543,30.45,Stress
-5.0,-7.0,63.0,S16,0.7393749999999999,0.421825,30.45,Stress
-5.0,-6.875,62.75,S16,0.925625,0.421825,30.45,Stress
-4.875,-7.0,63.0,S16,-5.969375,0.423106,30.45,Stress
-5.125,-6.875,63.0,S16,1.61125,0.421825,30.45,Stress
-4.75,-6.875,63.0,S16,-2.5475,0.424387,30.45,Stress
-4.75,-7.0,62.875,S16,-2.9075,0.424387,30.45,Stress
-4.75,-7.0,63.0,S16,-3.678125,0.421825,30.45,Stress
-5.0,-7.0,62.875,S16,5.88375,0.420543,30.45,Stress
-5.0,-7.0,63.0,S16,4.345625,0.424387,30.45,Stress
-5.125,-6.625,63.0,S16,-12.36375,0.421825,30.45,Stress
-4.875,-7.0,63.0,S16,3.855625,0.420543,30.47,Stress
-5.125,-6.875,63.0,S16,4.3881250000000005,0.420543,30.47,Stress
-5.0,-7.0,63.0,S16,-9.270625,0.419262,30.47,Stress
-5.0,-7.0,63.0,S16,10.738125,0.419262,30.47,Stress
-4.75,-7.0,63.0,S16,-5.21125,0.417981,30.45,Stress
-4.625,-7.0,63.0,S16,4.25625,0.417981,30.45,Stress
-4.875,-6.875,63.0,S16,1.1431250000000002,0.416699,30.45,Stress
-5.125,-6.875,63.125,S16,-7.5375,0.414137,30.45,Stress
-4.875,-6.0,62.5,S16,6.63875,0.419262,30.45,Stress
-4.25,-6.875,63.0,S16,-4.796875,0.419262,30.45,Stress
-4.125,-7.0,62.75,S16,7.19,0.417981,30.45,Stress
-4.375,-7.0,63.0,S16,3.906875,0.410293,30.45,Stress
-4.25,-7.0,63.0,S16,-8.9625,0.412855,30.45,Stress
-4.25,-7.0,63.0,S16,7.478125,0.415418,30.45,Stress
-4.625,-6.625,62.875,S16,-2.888125,0.414137,30.45,Stress
-3.875,-7.125,62.875,S16,13.195625,0.412855,30.45,Stress
-4.0,-6.875,63.0,S16,3.434375,0.411574,30.47,Stress
-4.25,-7.0,62.875,S16,-14.9625,0.410293,30.47,Stress
-4.0,-7.0,63.0,S16,12.260625,0.409011,30.47,Stress
-4.125,-7.0,63.0,S16,-2.789375,0.410293,30.47,Stress
-4.125,-7.0,63.0,S16,-4.56875,0.406449,30.47,Stress
-4.375,-7.0,63.0,S16,12.580625,0.40773,30.47,Stress
-4.125,-7.0,63.0,S16,-11.209375,0.406449,30.47,Stress
-4.125,-7.0,63.0,S16,5.630625,0.40773,30.47,Stress
-4.0,-7.0,63.0,S16,1.850625,0.40773,30.45,Stress
-4.0,-7.0,63.0,S16,-7.0425,0.406449,30.45,Stress
-4.125,-7.0,63.0,S16,9.1475,0.403886,30.45,Stress
-4.0,-7.0,63.0,S16,-2.6875,0.409011,30.45,Stress
-3.875,-7.0,63.0,S16,-0.7943749999999998,0.405167,30.47,Stress
-4.0,-7.0,63.0,S16,5.628125,0.403886,30.47,Stress
-4.25,-7.0,63.375,S16,-7.818125,0.401323,30.47,Stress
-3.625,-7.375,62.75,S16,4.878125,0.406449,30.47,Stress
-4.0,-6.875,63.0,S16,-0.913125,0.405167,30.47,Stress
-4.0,-7.0,63.0,S16,-2.920625,0.400042,30.47,Stress
-4.25,-6.625,63.0,S16,3.330625,0.402605,30.47,Stress
-3.875,-7.125,63.0,S16,-7.05375,0.401323,30.47,Stress
-3.875,-6.875,63.0,S16,7.27625,0.402605,30.45,Stress
-4.0,-7.125,62.875,S16,0.68625,0.39748,30.45,Stress
-3.0,-7.25,62.875,S16,-11.6125,0.392354,30.45,Stress
-3.875,-6.875,63.0,S16,2.475625,0.398761,30.45,Stress
-4.0,-7.0,63.0,S16,-6.88375,0.402605,30.45,Stress
-4.25,-7.125,62.875,S16,-0.956875,0.402605,30.45,Stress
-4.375,-7.125,62.875,S16,-2.04125,0.403886,30.45,Stress
-3.125,-7.0,62.875,S16,-2.048125,0.406449,30.45,Stress
-3.75,-7.0,62.875,S16,14.975625,0.411574,30.47,Stress
-3.875,-7.0,63.0,S16,-14.93,0.414137,30.47,Stress
-3.625,-7.125,62.875,S16,4.68375,0.414137,30.47,Stress
-4.125,-7.0,62.875,S16,1.958125,0.409011,30.47,Stress
-4.25,-6.875,62.875,S16,-17.666249999999998,0.40773,30.47,Stress
-4.625,-7.0,63.0,S16,14.44625,0.412855,30.47,Stress
-4.5,-7.0,62.625,S16,-1.30375,0.410293,30.47,Stress
-4.0,-6.25,63.25,S16,1.411875,0.410293,30.47,Stress
-4.125,-7.0,62.875,S16,-5.890625,0.412855,30.45,Stress
-4.375,-6.875,63.0,S16,-4.229375,0.409011,30.45,Stress
-4.25,-6.875,62.875,S16,6.19125,0.409011,30.45,Stress
-4.125,-6.875,63.0,S16,-13.38875,0.406449,30.45,Stress
-4.0,-7.0,63.0,S16,0.5581250000000001,0.411574,30.47,Stress
-4.125,-7.0,63.0,S16,16.056875,0.409011,30.47,Stress
-4.0,-6.875,62.875,S16,11.32875,0.411574,30.47,Stress
-4.25,-7.0,62.875,S16,3.1225,0.414137,30.47,Stress
-4.125,-7.0,63.0,S16,-12.105,0.414137,30.45,Stress
-3.875,-7.0,63.0,S16,10.601875,0.416699,30.45,Stress
-4.5,-6.875,62.875,S16,-6.35875,0.419262,30.45,Stress
-4.0,-7.0,63.0,S16,1.46375,0.419262,30.45,Stress
-4.375,-6.875,63.0,S16,12.315625,0.419262,30.47,Stress
-4.75,-7.0,63.0,S16,-9.664375,0.417981,30.47,Stress
-4.125,-7.0,63.0,S16,12.441875,0.419262,30.47,Stress
-4.75,-7.0,63.0,S16,-0.383125,0.419262,30.47,Stress
-4.875,-6.875,63.0,S16,-5.96,0.423106,30.47,Stress
-4.25,-7.0,63.0,S16,7.61875,0.417981,30.47,Stress
-4.0,-7.0,63.0,S16,-11.614375,0.420543,30.47,Stress
-4.125,-7.0,63.0,S16,7.163125,0.420543,30.47,Stress
-4.125,-7.0,63.0,S16,-0.83375,0.419262,30.47,Stress
-4.5,-7.0,63.0,S16,-1.2,0.415418,30.47,Stress
-4.125,-7.0,63.0,S16,4.8725,0.414137,30.47,Stress
-4.125,-7.0,63.0,S16,-9.841875,0.414137,30.47,Stress
-4.0,-7.0,63.0,S16,4.99375,0.415418,30.49,Stress
-4.25,-7.0,62.875,S16,-10.09375,0.415418,30.49,Stress
-4.5,-7.0,63.0,S16,1.914375,0.412855,30.49,Stress
-4.125,-7.0,63.0,S16,2.163125,0.415418,30.49,Stress
-4.125,-7.0,63.0,S16,-9.460625,0.412855,30.49,Stress
-4.125,-7.0,63.0,S16,6.509375,0.412855,30.49,Stress
-4.625,-6.5,62.875,S16,-10.21375,0.415418,30.49,Stress
-4.0,-7.0,62.75,S16,1.470625,0.409011,30.49,Stress
-4.125,-7.0,63.0,S16,1.029375,0.406449,30.49,Stress
-4.125,-6.625,63.0,S16,-10.140625,0.406449,30.49,Stress
-3.375,-7.125,63.0,S16,5.959375,0.403886,30.49,Stress
